"EVALUATION"    , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "RMS_ENERGY"    , "RefForce"      
11              , 0.001571149974  , 52.66512429     , -0.0002342924052, 0.08275939209   , 0.0             , 0.08274480866   , 0.0             , 0.0             , -0.03095545187  , 0.0             , 0.0             , 0.0             , 653.0           , -13.0149479     , -13.92422402    , -13.58735509    , -12.46461896    , 0.448           
12              , 0.03429922272   , 6.749032963     , 0.0292412072    , 0.2321797308    , 0.0             , 0.2314865847    , 0.0             , 0.0             , 0.03132008743   , 0.0             , 0.0             , 0.0             , 580.0           , -13.0154616     , -13.84415043    , -13.52680619    , -12.46610971    , 0.448           
13              , 0.001336987069  , 83.34322507     , -0.001094137869 , 0.1114314634    , 0.0             , 0.1114288142    , 0.0             , 0.0             , -0.02796295558  , 0.0             , 0.0             , 0.0             , 592.0           , -13.00712503    , -13.78909661    , -13.58180571    , -12.45532267    , 0.448           
14              , 0.001566854712  , 74.1558064      , -0.0009682196375, 0.116197905     , 0.0             , 0.1161913747    , 0.0             , 0.0             , -0.02597932201  , 0.0             , 0.0             , 0.0             , 635.0           , -13.00083801    , -13.91635936    , -13.54465628    , -12.45132431    , 0.448           
15              , 0.001311934253  , 85.48376576     , -0.001134897247 , 0.1121510117    , 0.0             , 0.1121490804    , 0.0             , 0.0             , -0.02783729929  , 0.0             , 0.0             , 0.0             , 582.0           , -13.01002067    , -13.80385203    , -13.57750564    , -12.45614411    , 0.448           
16              , 0.003253939864  , 16.58151536     , 0.002076137855  , 0.05401339826   , 0.0             , 0.05395525383   , 0.0             , 0.0             , -0.03099815676  , 0.0             , 0.0             , 0.0             , 722.0           , -13.01004719    , -13.62238385    , -13.5403051     , -12.45576152    , 0.448           
17              , 0.001204646231  , 89.92542611     , -0.001158810412 , 0.1083288256    , 0.0             , 0.1083283256    , 0.0             , 0.0             , -0.02845528423  , 0.0             , 0.0             , 0.0             , 595.0           , -13.00828752    , -13.94950665    , -13.49449945    , -12.45716886    , 0.448           
18              , 0.00842756237   , -6.346722658    , 0.009592378343  , -0.05329082619  , 0.0             , -0.05348740105  , 0.0             , 0.0             , -0.04008773278  , 0.0             , 0.0             , 0.0             , 693.0           , -13.0100037     , -13.45664105    , -13.63621296    , -12.45300113    , 0.448           
19              , 0.001086120102  , 89.54132495     , -0.001035693373 , 0.0972531831    , 0.0             , 0.09725263301   , 0.0             , 0.0             , -0.03033252321  , 0.0             , 0.0             , 0.0             , 645.0           , -13.00302734    , -13.89281786    , -13.56473153    , -12.45372943    , 0.448           
20              , 0.00886774216   , -14.39543892    , 0.01165041191   , -0.1274312134   , 0.0             , -0.1276550406   , 0.0             , 0.0             , -0.05393283866  , 0.0             , 0.0             , 0.0             , 757.0           , -13.00961719    , -13.55400472    , -13.47895592    , -12.45354141    , 0.448           
21              , 0.00108149161   , 75.1440491      , -0.0006916103862, 0.08127191178   , 0.0             , 0.08126765866   , 0.0             , 0.0             , -0.03312125578  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00267924    , -13.91298426    , -13.52332504    , -12.45340987    , 0.448           
22              , 0.008451443434  , -22.31530571    , 0.01256364414   , -0.1883672958   , 0.0             , -0.1885965439   , 0.0             , 0.0             , -0.0695610028   , 0.0             , 0.0             , 0.0             , 706.0           , -13.01307275    , -13.32752845    , -13.54494373    , -12.45249358    , 0.448           
23              , 0.001218989595  , 51.09258029     , -0.0001399604092, 0.06229309463   , 0.0             , 0.06228132378   , 0.0             , 0.0             , -0.03658953738  , 0.0             , 0.0             , 0.0             , 668.0           , -13.00145009    , -13.70170634    , -13.50764004    , -12.44957923    , 0.448           
24              , 0.001089672494  , 72.85531213     , -0.0006424362848, 0.07939330844   , 0.0             , 0.07938842965   , 0.0             , 0.0             , -0.03347665011  , 0.0             , 0.0             , 0.0             , 685.0           , -13.00231343    , -13.90697147    , -13.52298747    , -12.45326703    , 0.448           
25              , 0.001082260483  , 74.91759141     , -0.0006867555505, 0.08108466313   , 0.0             , 0.08108034867   , 0.0             , 0.0             , -0.03315680201  , 0.0             , 0.0             , 0.0             , 683.0           , -13.01208114    , -13.92252452    , -13.53187921    , -12.46286607    , 0.448           
26              , 0.001081568047  , 75.12142172     , -0.0006911253902, 0.0812531886    , 0.0             , 0.08124892936   , 0.0             , 0.0             , -0.0331248111   , 0.0             , 0.0             , 0.0             , 682.0           , -13.00237943    , -13.91257793    , -13.52306341    , -12.45311211    , 0.448           
27              , 0.001081499249  , 75.14178654     , -0.0006915618915, 0.08127003948   , 0.0             , 0.08126578575   , 0.0             , 0.0             , -0.03312161132  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00264838    , -13.91303079    , -13.52329214    , -12.45337972    , 0.448           
28              , 0.001081492374  , 75.14382284     , -0.0006916055368, 0.08127172455   , 0.0             , 0.08126747137   , 0.0             , 0.0             , -0.03312129133  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00267871    , -13.91280217    , -13.52332082    , -12.4534097     , 0.448           
29              , 0.001081491687  , 75.14402647     , -0.0006916099012, 0.08127189305   , 0.0             , 0.08126763994   , 0.0             , 0.0             , -0.03312125933  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00268063    , -13.91287439    , -13.52332076    , -12.45341212    , 0.448           
30              , 0.001081491618  , 75.14404683     , -0.0006916103377, 0.08127190991   , 0.0             , 0.08126765679   , 0.0             , 0.0             , -0.03312125613  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00267967    , -13.91300787    , -13.5233264     , -12.45341039    , 0.448           
31              , 0.001081491611  , 75.14404887     , -0.0006916103813, 0.08127191159   , 0.0             , 0.08126765848   , 0.0             , 0.0             , -0.03312125581  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00267942    , -13.91295817    , -13.52331909    , -12.45341062    , 0.448           
32              , 0.00108149161   , 75.14404907     , -0.0006916103857, 0.08127191176   , 0.0             , 0.08126765865   , 0.0             , 0.0             , -0.03312125578  , 0.0             , 0.0             , 0.0             , 682.0           , -13.00268143    , -13.91283284    , -13.52332035    , -12.45341326    , 0.448           
